Source:,MIDI.sch,,,,,,,,,,,,
Date:,lun 17 jul 2017 17:52:08 ART,,,,,,,,,,,,
Tool:,Eeschema 4.0.6-e0-6349~53~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/home/cmancon/CESE/DCI/Ejercicio_2/ej2tools/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,134,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Description,Digikey#,Manf,Manf#,Mouser#,kicost.v1:Manf#
,,FB3,1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
,,FB4,1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
,,FB5,1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
,,FB6,1k @100MHz,MIDI:FILTER,MIDI:FB_0805_HandSoldering,http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=BK2125HS102-T&fileName=BK2125HS102-T_SS&mode=specSheetDownload,FERRITE BEAD 1 KOHM 0805 1LN,FERRITE BEAD 1 KOHM 0805 1LN,587-1904-1-ND,Taiyo Yuden,BK2125HS102-T,963-BK2125HS102-T,
,,G1,LOGO,MIDI:LOGO,MIDI:LOGO,,,,,,,,1000
,,G2,Logo_Poncho,MIDI:Logo_Poncho,MIDI:Logo_Poncho,,,,,,,,1000
,,G3,OSHWA,MIDI:OSHWA,MIDI:OSHWA,,,,,,,,1000
,,H1,CONN_1,MIDI:CONN_1,MIDI:Hole,,,,,,,,1000
,,H2,CONN_1,MIDI:CONN_1,MIDI:Hole,,,,,,,,1000
,,H3,CONN_1,MIDI:CONN_1,MIDI:Hole,,,,,,,,1000
,,H4,CONN_1,MIDI:CONN_1,MIDI:Hole,,,,,,,,1000
,,J1,DIN_5,MIDI:DIN_5,MIDI:DIN5_180,/Datasheets/sdf-xxj.pdf,CONN DIN 5POS FEMALE SHIELDED,CONN DIN 5POS FEMALE SHIELDED,CP-7050-ND,CUI Inc.,SDF-50J,490-SDF-50J,
,,J2,DIN_5,MIDI:DIN_5,MIDI:DIN5_180,/Datasheets/sdf-xxj.pdf,CONN DIN 5POS FEMALE SHIELDED,CONN DIN 5POS FEMALE SHIELDED,CP-7050-ND,CUI Inc.,SDF-50J,490-SDF-50J,
,,J3,DIN_5,MIDI:DIN_5,MIDI:DIN5_180,/Datasheets/sdf-xxj.pdf,CONN DIN 5POS FEMALE SHIELDED,CONN DIN 5POS FEMALE SHIELDED,CP-7050-ND,CUI Inc.,SDF-50J,490-SDF-50J,
,,J4,CONN_01X06,MIDI:CONN_01X06,MIDI:Pin_Header_Straight_1x06_Pitch2.54mm,http://portal.fciconnect.com/Comergent//fci/drawing/75915.pdf,"CONN RCPT 6POS .100"" SGL PCB","CONN RCPT 6POS .100"" SGL PCB",609-3558-ND,Amphenol FCI,75915-306LF,649-75915-306LF,
,,J5,CONN_01X06,MIDI:CONN_01X06,MIDI:Pin_Header_Straight_1x06_Pitch2.54mm,http://portal.fciconnect.com/Comergent//fci/drawing/75915.pdf,"CONN RCPT 6POS .100"" SGL PCB","CONN RCPT 6POS .100"" SGL PCB",609-3558-ND,Amphenol FCI,75915-306LF,649-75915-306LF,
,,R1,1K,MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/ww/system/files/data/download/catalog/id_fixed-resistors_e_1.pdf,RES SMD 1K OHM 1% 1/2W 0805,RES SMD 1K OHM 1% 1/2W 0805,P16885CT-ND,Panasonic Electronic Components,ERJ-P6WF1001V,667-ERJ-P6WF1001V,
,,R2,"33R 0,5W",MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C291.pdf,RES SMD 33 OHM 5% 1/2W 0805,RES SMD 33 OHM 5% 1/2W 0805,P33ADCT-ND,Panasonic Electronic Components,ERJ-P06J330V,667-ERJ-P06J330V,
,,R3,220R,MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/ww/system/files/data/download/catalog/id_fixed-resistors_e_1.pdf,RES SMD 220 OHM 5% 1/2W 0805,RES SMD 220 OHM 5% 1/2W 0805,P220ADCT-ND,Panasonic Electronic Components,ERJ-P06J221V,667-ERJ-P06J221V,
,,R4,4K7,MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/ww/system/files/data/download/catalog/id_fixed-resistors_e_1.pdf,RES SMD 4.7K OHM 5% 1/2W 0805,RES SMD 4.7K OHM 5% 1/2W 0805,P4.7KADCT-ND,Panasonic Electronic Components,ERJ-P06J472V,667-ERJ-P06J472V,
,,R5,10R,MIDI:R,MIDI:R_0805_HandSoldering,http://www.bourns.com/data/global/pdfs/CRS.pdf,RES SMD 1K OHM 1% 1/4W 0805,RES SMD 1K OHM 1% 1/4W 0805,CRS0805-FX-1001ELFCT-ND,Bourns Inc.,CRS0805-FX-1001ELF,652-CRS0805FX1001ELF,
,,R6,"33R 0,5W",MIDI:R,MIDI:R_0805_HandSoldering,https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C291.pdf,RES SMD 33 OHM 5% 1/2W 0805,RES SMD 33 OHM 5% 1/2W 0805,P33ADCT-ND,Panasonic Electronic Components,ERJ-P06J330V,667-ERJ-P06J330V,
,,R7,10R,MIDI:R,MIDI:R_0805_HandSoldering,http://www.bourns.com/data/global/pdfs/CRS.pdf,RES SMD 1K OHM 1% 1/4W 0805,RES SMD 1K OHM 1% 1/4W 0805,CRS0805-FX-1001ELFCT-ND,Bourns Inc.,CRS0805-FX-1001ELF,652-CRS0805FX1001ELF,
,,R8,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R9,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R10,10K,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R11,18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
,,R12,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R13,33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
,,R14,1k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 1K OHM 5% 1/8W 0805,RES SMD 1K OHM 5% 1/8W 0805,311-1.0KARCT-ND,Yageo,RC0805JR-071KL,603-RC0805JR-071KL,
,,R15,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R16,18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
,,R17,33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
,,R18,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R19,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R20,10K,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R21,18k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 18K OHM 5% 1/8W 0805,RES SMD 18K OHM 5% 1/8W 0805,311-18KARCT-ND,Yageo,RC0805JR-0718KL,603-RC0805JR-0718KL,
,,R22,10k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 10K OHM 5% 1/8W 0805,RES SMD 10K OHM 5% 1/8W 0805,311-10KARCT-ND,Yageo,RC0805JR-0710KL,603-RC0805JR-0710KL,
,,R23,33k,MIDI:R,MIDI:R_0805_HandSoldering,http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf,RES SMD 33K OHM 1% 1/8W 0805,RES SMD 33K OHM 1% 1/8W 0805,311-33.0KCRCT-ND,Yageo,RC0805FR-0733KL,603-RC0805FR-0733KL,
