Source:,E:/Embebidos/Materias/Diseño de PCB/Proyectos/PonchoEDUCIAA_WIFI_BLT/PonchoEDUCIAA_WIFI_BLT.sch
Date:,01/08/2017 09:13:50 p.m.
Tool:,Eeschema 4.0.6
Generator:,E:/Embebidos/Materias/Dise�o de PCB/Proyectos/PonchoEDUCIAA_WIFI_BLT/tools/bom_csv_grouped_by_value.py
Component Count:,24

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Desc,Descripcion,Digikey#,Manf,Manf#,Mouser#
8,3,"F1, F2, F3",FIDUCIAL,PonchoEDUCIAA_WIFI_BLT-cache:FIDUCIAL,PonchoEDUCIAA_WIFI_BLTH:Fiducial_1mm,,,FIDUCIAL,,,,
9,1,J1,UART,conn:CONN_01X03,PonchoEDUCIAA_WIFI_BLTH:CON_PALETA_3,http://www.molex.com/pdm_docs/sd/022272031_sd.pdf,CONN HEADER 3POS .100 VERT TIN,,WM4112-ND,"Molex, LLC",0022272031,538-22-27-2031
10,3,"R1, R4, R5",402,device:R_Small,Resistors_SMD:R_0805_HandSoldering,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,RES SMD 402 OHM 1% 1/8W 0805,,311-402CRCT-ND,Yageo,RC0805FR-07402RL,603-RC0805FR-07402RL
11,1,R2,10k,device:R_Small,Resistors_SMD:R_0805_HandSoldering,https://media.digikey.com/pdf/Data%20Sheets/Panasonic%20Resistors%20Thermistors%20PDFs/ERA_Series_LE.pdf,RES SMD 10K OHM 0.1% 1/8W 0805,,P10KDACT-ND,Panasonic Electronic Components,ERA-6AEB103V,667-ERA-6AEB103V
12,2,"R3, R6",470,device:R_Small,Resistors_SMD:R_0805_HandSoldering,http://www.yageo.com.tw/exep/pages/download/literatures/PYu-R_INT-thick_7.pdf,RES SMD 470 OHM 1% 1/8W 0805,,311-470CRCT-ND,Yageo,RC0805FR-07470RL,603-RC0805FR-07470RL
13,2,"R7, R8",5k,device:R_Small,Resistors_SMD:R_0805_HandSoldering,http://www.vishay.com/docs/20008/dcrcw.pdf,RES SMD 5K OHM 1% 1/8W 0805,,CRCW08055K00FKTA-ND,Vishay Dale,CRCW08055K00FKTA,71-CRCW0805-5K
14,1,SW1,Reset,switches:SW_Push,Buttons_Switches_THT:SW_PUSH_6mm,http://www.ckswitches.com/media/1341/d6.pdf,SWITCH PUSH SPST-NO 0.1A 32V,,401-1969-ND,C&K,D6C90 F1 LFS,611-D6C90F1LFS
15,1,SW2,Boot,switches:SW_SPDT,Buttons_Switches_THT:SW_Micro_SPST,http://www.ckswitches.com/media/1422/js.pdf,SWITCH SLIDE DPDT 300MA 6V,,401-2001-ND,C&K,JS202011CQN,611-JS202011CQN
16,1,U1,ESP32-WROOM,PonchoEDUCIAA_WIFI_BLT-cache:ESP32-WROOM,PonchoEDUCIAA_WIFI_BLTH:ESP32-WROOM,https://www.espressif.com/sites/default/files/documentation/esp_wroom_32_datasheet_en.pdf,TXRX MOD BLE WIFI ESP-WROOM-32,,1528-1801-ND,Adafruit Industries LLC,3320,485-3320
17,1,XA1,Conn_Poncho2P_2x_20x2,PonchoEDUCIAA_WIFI_BLT-cache:Conn_Poncho2P_2x_20x2,PonchoEDUCIAA_WIFI_BLTH:Conn_Poncho_Derecha,https://cdn.harwin.com/pdfs/M50-350.pdf,CONN HDR 1.27MM VERT AU 20POS,,952-1386-ND,Harwin Inc.,M50-3501042,855-M50-3501042
